provinsi,tahun,ump
ACEH,2002,330000
ACEH,2003,425000
ACEH,2004,550000
ACEH,2005,620000
ACEH,2006,820000
ACEH,2007,850000
ACEH,2008,1000000
ACEH,2009,1200000
ACEH,2010,1300000
ACEH,2011,1350000
ACEH,2012,1400000
ACEH,2013,1550000
ACEH,2014,1750000
ACEH,2015,1900000
ACEH,2016,2118500
ACEH,2017,2500000
ACEH,2018,2700000
ACEH,2019,2916810
ACEH,2020,3165031
ACEH,2021,3165031
ACEH,2022,3166460
